Week Ending Date,Metric,Category,Waiting Bands,Count
10/10/2021,Sex,Male,18 To 52 Weeks,659790
10/10/2021,Sex,Male,Over 52 Weeks,128220
10/10/2021,Sex,Male,Total,2239560
17/10/2021,Age,0-18 Years,Unknown Clock Start,860
17/10/2021,Age,0-18 Years,01 To 18 Weeks,398695
17/10/2021,Age,0-18 Years,18 To 52 Weeks,172540
17/10/2021,Age,0-18 Years,Over 52 Weeks,27525
17/10/2021,Age,0-18 Years,Total,599625
17/10/2021,Age,19-64 Years,Unknown Clock Start,9165
17/10/2021,Age,19-64 Years,01 To 18 Weeks,1887685
17/10/2021,Age,19-64 Years,18 To 52 Weeks,951455
17/10/2021,Age,19-64 Years,Over 52 Weeks,177440
17/10/2021,Age,19-64 Years,Total,3025745
17/10/2021,Age,Over 65 Years,Unknown Clock Start,5190
17/10/2021,Age,Over 65 Years,01 To 18 Weeks,1207850
17/10/2021,Age,Over 65 Years,18 To 52 Weeks,506520
17/10/2021,Age,Over 65 Years,Over 52 Weeks,96375
17/10/2021,Age,Over 65 Years,Total,1815935
17/10/2021,Sex,Female,Unknown Clock Start,8585
17/10/2021,Sex,Female,01 To 18 Weeks,1939425
17/10/2021,Sex,Female,18 To 52 Weeks,902540
17/10/2021,Sex,Female,Over 52 Weeks,159545
17/10/2021,Sex,Female,Total,3010090
17/10/2021,Sex,Male,Unknown Clock Start,6510
17/10/2021,Sex,Male,01 To 18 Weeks,1485050
17/10/2021,Sex,Male,18 To 52 Weeks,688500
17/10/2021,Sex,Male,Over 52 Weeks,134850
17/10/2021,Sex,Male,Total,2314910
24/10/2021,Age,0-18 Years,Unknown Clock Start,645
24/10/2021,Age,0-18 Years,01 To 18 Weeks,380050
24/10/2021,Age,0-18 Years,18 To 52 Weeks,165520
24/10/2021,Age,0-18 Years,Over 52 Weeks,25750
24/10/2021,Age,0-18 Years,Total,571965
24/10/2021,Age,19-64 Years,Unknown Clock Start,6065
24/10/2021,Age,19-64 Years,01 To 18 Weeks,1792715
24/10/2021,Age,19-64 Years,18 To 52 Weeks,906435
24/10/2021,Age,19-64 Years,Over 52 Weeks,167475
24/10/2021,Age,19-64 Years,Total,2872685
24/10/2021,Age,Over 65 Years,Unknown Clock Start,3410
24/10/2021,Age,Over 65 Years,01 To 18 Weeks,1148565
24/10/2021,Age,Over 65 Years,18 To 52 Weeks,484650
24/10/2021,Age,Over 65 Years,Over 52 Weeks,91900
24/10/2021,Age,Over 65 Years,Total,1728530
24/10/2021,Sex,Female,Unknown Clock Start,5835
24/10/2021,Sex,Female,01 To 18 Weeks,1873585
24/10/2021,Sex,Female,18 To 52 Weeks,880620
24/10/2021,Sex,Female,Over 52 Weeks,154400
24/10/2021,Sex,Female,Total,2914445
