Week Ending Date,Metric,Category,Waiting Bands,Count
07/08/2022,Sex,Male,01 To 18 Weeks,1607080
07/08/2022,Sex,Male,18 To 52 Weeks,923685
07/08/2022,Sex,Male,Over 52 Weeks,157715
07/08/2022,Sex,Male,Total,2690675
14/08/2022,Age,0-18 Years,Unknown Clock Start,135
14/08/2022,Age,0-18 Years,01 To 18 Weeks,455150
14/08/2022,Age,0-18 Years,18 To 52 Weeks,271830
14/08/2022,Age,0-18 Years,Over 52 Weeks,36360
14/08/2022,Age,0-18 Years,Total,763470
14/08/2022,Age,19-64 Years,Unknown Clock Start,2165
14/08/2022,Age,19-64 Years,01 To 18 Weeks,2023910
14/08/2022,Age,19-64 Years,18 To 52 Weeks,1274915
14/08/2022,Age,19-64 Years,Over 52 Weeks,233625
14/08/2022,Age,19-64 Years,Total,3534615
14/08/2022,Age,Over 65 Years,Unknown Clock Start,2710
14/08/2022,Age,Over 65 Years,01 To 18 Weeks,1334665
14/08/2022,Age,Over 65 Years,18 To 52 Weeks,704760
14/08/2022,Age,Over 65 Years,Over 52 Weeks,113435
14/08/2022,Age,Over 65 Years,Total,2155570
14/08/2022,Sex,Female,Unknown Clock Start,2800
14/08/2022,Sex,Female,01 To 18 Weeks,2110695
14/08/2022,Sex,Female,18 To 52 Weeks,1252580
14/08/2022,Sex,Female,Over 52 Weeks,214025
14/08/2022,Sex,Female,Total,3580095
14/08/2022,Sex,Male,Unknown Clock Start,2205
14/08/2022,Sex,Male,01 To 18 Weeks,1638145
14/08/2022,Sex,Male,18 To 52 Weeks,952520
14/08/2022,Sex,Male,Over 52 Weeks,159965
14/08/2022,Sex,Male,Total,2752835
21/08/2022,Age,0-18 Years,Unknown Clock Start,360
21/08/2022,Age,0-18 Years,01 To 18 Weeks,455915
21/08/2022,Age,0-18 Years,18 To 52 Weeks,273240
21/08/2022,Age,0-18 Years,Over 52 Weeks,37105
21/08/2022,Age,0-18 Years,Total,766625
21/08/2022,Age,19-64 Years,Unknown Clock Start,1845
21/08/2022,Age,19-64 Years,01 To 18 Weeks,2023775
21/08/2022,Age,19-64 Years,18 To 52 Weeks,1270915
21/08/2022,Age,19-64 Years,Over 52 Weeks,238005
21/08/2022,Age,19-64 Years,Total,3534540
21/08/2022,Age,Over 65 Years,Unknown Clock Start,2425
21/08/2022,Age,Over 65 Years,01 To 18 Weeks,1341910
21/08/2022,Age,Over 65 Years,18 To 52 Weeks,704160
21/08/2022,Age,Over 65 Years,Over 52 Weeks,115925
21/08/2022,Age,Over 65 Years,Total,2164420
21/08/2022,Sex,Female,Unknown Clock Start,2525
21/08/2022,Sex,Female,01 To 18 Weeks,2113075
21/08/2022,Sex,Female,18 To 52 Weeks,1249985
21/08/2022,Sex,Female,Over 52 Weeks,218395
21/08/2022,Sex,Female,Total,3583975
21/08/2022,Sex,Male,Unknown Clock Start,2095
21/08/2022,Sex,Male,01 To 18 Weeks,1642805
21/08/2022,Sex,Male,18 To 52 Weeks,952510
21/08/2022,Sex,Male,Over 52 Weeks,163165
21/08/2022,Sex,Male,Total,2760575
28/08/2022,Age,0-18 Years,Unknown Clock Start,225
28/08/2022,Age,0-18 Years,01 To 18 Weeks,467155
28/08/2022,Age,0-18 Years,18 To 52 Weeks,277705
28/08/2022,Age,0-18 Years,Over 52 Weeks,37565
28/08/2022,Age,0-18 Years,Total,782645
28/08/2022,Age,19-64 Years,Unknown Clock Start,2425
28/08/2022,Age,19-64 Years,01 To 18 Weeks,2073170
28/08/2022,Age,19-64 Years,18 To 52 Weeks,1278505
28/08/2022,Age,19-64 Years,Over 52 Weeks,238780
28/08/2022,Age,19-64 Years,Total,3592880
28/08/2022,Age,Over 65 Years,Unknown Clock Start,2870
28/08/2022,Age,Over 65 Years,01 To 18 Weeks,1339775
28/08/2022,Age,Over 65 Years,18 To 52 Weeks,698690
28/08/2022,Age,Over 65 Years,Over 52 Weeks,116035
28/08/2022,Age,Over 65 Years,Total,2157370
28/08/2022,Sex,Female,Unknown Clock Start,3080
28/08/2022,Sex,Female,01 To 18 Weeks,2145020
28/08/2022,Sex,Female,18 To 52 Weeks,1252570
28/08/2022,Sex,Female,Over 52 Weeks,219440
28/08/2022,Sex,Female,Total,3620105
28/08/2022,Sex,Male,Unknown Clock Start,2435
28/08/2022,Sex,Male,01 To 18 Weeks,1668725
28/08/2022,Sex,Male,18 To 52 Weeks,956010
28/08/2022,Sex,Male,Over 52 Weeks,163530
28/08/2022,Sex,Male,Total,2790695
04/09/2022,Age,0-18 Years,Unknown Clock Start,205
04/09/2022,Age,0-18 Years,01 To 18 Weeks,449865
04/09/2022,Age,0-18 Years,18 To 52 Weeks,277880
04/09/2022,Age,0-18 Years,Over 52 Weeks,36625
04/09/2022,Age,0-18 Years,Total,764570
04/09/2022,Age,19-64 Years,Unknown Clock Start,1855
04/09/2022,Age,19-64 Years,01 To 18 Weeks,1960470
04/09/2022,Age,19-64 Years,18 To 52 Weeks,1242425
04/09/2022,Age,19-64 Years,Over 52 Weeks,226730
04/09/2022,Age,19-64 Years,Total,3431475
04/09/2022,Age,Over 65 Years,Unknown Clock Start,2320
04/09/2022,Age,Over 65 Years,01 To 18 Weeks,1267535
04/09/2022,Age,Over 65 Years,18 To 52 Weeks,680530
04/09/2022,Age,Over 65 Years,Over 52 Weeks,110380
04/09/2022,Age,Over 65 Years,Total,2060770
04/09/2022,Sex,Female,Unknown Clock Start,2525
04/09/2022,Sex,Female,01 To 18 Weeks,2067640
04/09/2022,Sex,Female,18 To 52 Weeks,1248755
04/09/2022,Sex,Female,Over 52 Weeks,213640
04/09/2022,Sex,Female,Total,3532560
04/09/2022,Sex,Male,Unknown Clock Start,1855
04/09/2022,Sex,Male,01 To 18 Weeks,1608930
04/09/2022,Sex,Male,18 To 52 Weeks,950260
04/09/2022,Sex,Male,Over 52 Weeks,159125
04/09/2022,Sex,Male,Total,2720170
11/09/2022,Age,0-18 Years,Unknown Clock Start,520
11/09/2022,Age,0-18 Years,01 To 18 Weeks,459900
11/09/2022,Age,0-18 Years,18 To 52 Weeks,286355
11/09/2022,Age,0-18 Years,Over 52 Weeks,37745
11/09/2022,Age,0-18 Years,Total,784520
11/09/2022,Age,19-64 Years,Unknown Clock Start,3785
11/09/2022,Age,19-64 Years,01 To 18 Weeks,2075565
11/09/2022,Age,19-64 Years,18 To 52 Weeks,1320815
11/09/2022,Age,19-64 Years,Over 52 Weeks,242845
11/09/2022,Age,19-64 Years,Total,3643010
11/09/2022,Age,Over 65 Years,Unknown Clock Start,3860
11/09/2022,Age,Over 65 Years,01 To 18 Weeks,1367680
11/09/2022,Age,Over 65 Years,18 To 52 Weeks,726425
11/09/2022,Age,Over 65 Years,Over 52 Weeks,118205
11/09/2022,Age,Over 65 Years,Total,2216170
11/09/2022,Sex,Female,Unknown Clock Start,4470
11/09/2022,Sex,Female,01 To 18 Weeks,2144805
11/09/2022,Sex,Female,18 To 52 Weeks,1290895
11/09/2022,Sex,Female,Over 52 Weeks,222615
11/09/2022,Sex,Female,Total,3662785
11/09/2022,Sex,Male,Unknown Clock Start,3685
11/09/2022,Sex,Male,01 To 18 Weeks,1665915
11/09/2022,Sex,Male,18 To 52 Weeks,980530
11/09/2022,Sex,Male,Over 52 Weeks,166165
11/09/2022,Sex,Male,Total,2816295
18/09/2022,Age,0-18 Years,Unknown Clock Start,565
18/09/2022,Age,0-18 Years,01 To 18 Weeks,454605
18/09/2022,Age,0-18 Years,18 To 52 Weeks,292145
18/09/2022,Age,0-18 Years,Over 52 Weeks,38280
18/09/2022,Age,0-18 Years,Total,785595
18/09/2022,Age,19-64 Years,Unknown Clock Start,2295
18/09/2022,Age,19-64 Years,01 To 18 Weeks,2050860
18/09/2022,Age,19-64 Years,18 To 52 Weeks,1332000
18/09/2022,Age,19-64 Years,Over 52 Weeks,245130
18/09/2022,Age,19-64 Years,Total,3630280
18/09/2022,Age,Over 65 Years,Unknown Clock Start,5290
18/09/2022,Age,Over 65 Years,01 To 18 Weeks,1355090
18/09/2022,Age,Over 65 Years,18 To 52 Weeks,733995
18/09/2022,Age,Over 65 Years,Over 52 Weeks,119530
18/09/2022,Age,Over 65 Years,Total,2213905
18/09/2022,Sex,Female,Unknown Clock Start,4525
18/09/2022,Sex,Female,01 To 18 Weeks,2117705
18/09/2022,Sex,Female,18 To 52 Weeks,1302620
18/09/2022,Sex,Female,Over 52 Weeks,225055
18/09/2022,Sex,Female,Total,3649910
18/09/2022,Sex,Male,Unknown Clock Start,3595
18/09/2022,Sex,Male,01 To 18 Weeks,1648070
18/09/2022,Sex,Male,18 To 52 Weeks,991690
18/09/2022,Sex,Male,Over 52 Weeks,167775
18/09/2022,Sex,Male,Total,2811120
25/09/2022,Age,0-18 Years,Unknown Clock Start,145
25/09/2022,Age,0-18 Years,01 To 18 Weeks,429245
25/09/2022,Age,0-18 Years,18 To 52 Weeks,278860
25/09/2022,Age,0-18 Years,Over 52 Weeks,35510
25/09/2022,Age,0-18 Years,Total,743755
25/09/2022,Age,19-64 Years,Unknown Clock Start,2000
25/09/2022,Age,19-64 Years,01 To 18 Weeks,1999210
25/09/2022,Age,19-64 Years,18 To 52 Weeks,1302545
25/09/2022,Age,19-64 Years,Over 52 Weeks,232090
25/09/2022,Age,19-64 Years,Total,3535845
25/09/2022,Age,Over 65 Years,Unknown Clock Start,2275
25/09/2022,Age,Over 65 Years,01 To 18 Weeks,1331475
25/09/2022,Age,Over 65 Years,18 To 52 Weeks,726565
25/09/2022,Age,Over 65 Years,Over 52 Weeks,116275
25/09/2022,Age,Over 65 Years,Total,2176590
25/09/2022,Sex,Female,Unknown Clock Start,2345
25/09/2022,Sex,Female,01 To 18 Weeks,2060100
25/09/2022,Sex,Female,18 To 52 Weeks,1274060
25/09/2022,Sex,Female,Over 52 Weeks,213460
25/09/2022,Sex,Female,Total,3549960
25/09/2022,Sex,Male,Unknown Clock Start,1940
25/09/2022,Sex,Male,01 To 18 Weeks,1603430
25/09/2022,Sex,Male,18 To 52 Weeks,968650
25/09/2022,Sex,Male,Over 52 Weeks,160065
25/09/2022,Sex,Male,Total,2734085
02/10/2022,Age,0-18 Years,Unknown Clock Start,370
02/10/2022,Age,0-18 Years,01 To 18 Weeks,440805
02/10/2022,Age,0-18 Years,18 To 52 Weeks,298830
02/10/2022,Age,0-18 Years,Over 52 Weeks,38950
02/10/2022,Age,0-18 Years,Total,778960
02/10/2022,Age,19-64 Years,Unknown Clock Start,1135
02/10/2022,Age,19-64 Years,01 To 18 Weeks,2028255
02/10/2022,Age,19-64 Years,18 To 52 Weeks,1354505
02/10/2022,Age,19-64 Years,Over 52 Weeks,246805
02/10/2022,Age,19-64 Years,Total,3630695
02/10/2022,Age,Over 65 Years,Unknown Clock Start,1915
02/10/2022,Age,Over 65 Years,01 To 18 Weeks,1347475
02/10/2022,Age,Over 65 Years,18 To 52 Weeks,752325
02/10/2022,Age,Over 65 Years,Over 52 Weeks,121265
02/10/2022,Age,Over 65 Years,Total,2222980
02/10/2022,Sex,Female,Unknown Clock Start,1830
02/10/2022,Sex,Female,01 To 18 Weeks,2090240
02/10/2022,Sex,Female,18 To 52 Weeks,1329335
02/10/2022,Sex,Female,Over 52 Weeks,227650
02/10/2022,Sex,Female,Total,3649055
02/10/2022,Sex,Male,Unknown Clock Start,1580
02/10/2022,Sex,Male,01 To 18 Weeks,1628330
02/10/2022,Sex,Male,18 To 52 Weeks,1009960
02/10/2022,Sex,Male,Over 52 Weeks,169155
02/10/2022,Sex,Male,Total,2809025
09/10/2022,Age,0-18 Years,Unknown Clock Start,930
09/10/2022,Age,0-18 Years,01 To 18 Weeks,440440
09/10/2022,Age,0-18 Years,18 To 52 Weeks,286935
09/10/2022,Age,0-18 Years,Over 52 Weeks,37820
09/10/2022,Age,0-18 Years,Total,766125
09/10/2022,Age,19-64 Years,Unknown Clock Start,2305
09/10/2022,Age,19-64 Years,01 To 18 Weeks,2070915
09/10/2022,Age,19-64 Years,18 To 52 Weeks,1337660
09/10/2022,Age,19-64 Years,Over 52 Weeks,246370
09/10/2022,Age,19-64 Years,Total,3657250
09/10/2022,Age,Over 65 Years,Unknown Clock Start,2245
09/10/2022,Age,Over 65 Years,01 To 18 Weeks,1369580
09/10/2022,Age,Over 65 Years,18 To 52 Weeks,738715
09/10/2022,Age,Over 65 Years,Over 52 Weeks,120670
09/10/2022,Age,Over 65 Years,Total,2231205
09/10/2022,Sex,Female,Unknown Clock Start,3000
09/10/2022,Sex,Female,01 To 18 Weeks,2122610
09/10/2022,Sex,Female,18 To 52 Weeks,1304535
09/10/2022,Sex,Female,Over 52 Weeks,226260
09/10/2022,Sex,Female,Total,3656405
09/10/2022,Sex,Male,Unknown Clock Start,2485
09/10/2022,Sex,Male,01 To 18 Weeks,1658150
09/10/2022,Sex,Male,18 To 52 Weeks,993820
09/10/2022,Sex,Male,Over 52 Weeks,168165
09/10/2022,Sex,Male,Total,2822625
16/10/2022,Age,0-18 Years,Unknown Clock Start,1170
16/10/2022,Age,0-18 Years,01 To 18 Weeks,429270
16/10/2022,Age,0-18 Years,18 To 52 Weeks,275130
16/10/2022,Age,0-18 Years,Over 52 Weeks,36245
16/10/2022,Age,0-18 Years,Total,741820
16/10/2022,Age,19-64 Years,Unknown Clock Start,2550
16/10/2022,Age,19-64 Years,01 To 18 Weeks,2018715
16/10/2022,Age,19-64 Years,18 To 52 Weeks,1286305
16/10/2022,Age,19-64 Years,Over 52 Weeks,231705
16/10/2022,Age,19-64 Years,Total,3539275
16/10/2022,Age,Over 65 Years,Unknown Clock Start,2185
16/10/2022,Age,Over 65 Years,01 To 18 Weeks,1333865
16/10/2022,Age,Over 65 Years,18 To 52 Weeks,719285
16/10/2022,Age,Over 65 Years,Over 52 Weeks,116015
16/10/2022,Age,Over 65 Years,Total,2171350
16/10/2022,Sex,Female,Unknown Clock Start,3365
16/10/2022,Sex,Female,01 To 18 Weeks,2070870
16/10/2022,Sex,Female,18 To 52 Weeks,1259185
16/10/2022,Sex,Female,Over 52 Weeks,213610
16/10/2022,Sex,Female,Total,3547030
16/10/2022,Sex,Male,Unknown Clock Start,2555
16/10/2022,Sex,Male,01 To 18 Weeks,1611590
16/10/2022,Sex,Male,18 To 52 Weeks,958470
16/10/2022,Sex,Male,Over 52 Weeks,160315
16/10/2022,Sex,Male,Total,2732930
23/10/2022,Age,0-18 Years,Unknown Clock Start,750
23/10/2022,Age,0-18 Years,01 To 18 Weeks,455710
23/10/2022,Age,0-18 Years,18 To 52 Weeks,299315
23/10/2022,Age,0-18 Years,Over 52 Weeks,40075
23/10/2022,Age,0-18 Years,Total,795850
23/10/2022,Age,19-64 Years,Unknown Clock Start,2630
23/10/2022,Age,19-64 Years,01 To 18 Weeks,2109490
23/10/2022,Age,19-64 Years,18 To 52 Weeks,1364825
23/10/2022,Age,19-64 Years,Over 52 Weeks,250770
23/10/2022,Age,19-64 Years,Total,3727710
23/10/2022,Age,Over 65 Years,Unknown Clock Start,2385
23/10/2022,Age,Over 65 Years,01 To 18 Weeks,1384815
23/10/2022,Age,Over 65 Years,18 To 52 Weeks,755950
23/10/2022,Age,Over 65 Years,Over 52 Weeks,122680
23/10/2022,Age,Over 65 Years,Total,2265830
23/10/2022,Sex,Female,Unknown Clock Start,3175
23/10/2022,Sex,Female,01 To 18 Weeks,2153345
23/10/2022,Sex,Female,18 To 52 Weeks,1334750
23/10/2022,Sex,Female,Over 52 Weeks,231065
23/10/2022,Sex,Female,Total,3722335
23/10/2022,Sex,Male,Unknown Clock Start,2495
23/10/2022,Sex,Male,01 To 18 Weeks,1672770
23/10/2022,Sex,Male,18 To 52 Weeks,1015755
23/10/2022,Sex,Male,Over 52 Weeks,171750
23/10/2022,Sex,Male,Total,2862770
30/10/2022,Age,0-18 Years,Unknown Clock Start,900
30/10/2022,Age,0-18 Years,01 To 18 Weeks,451550
30/10/2022,Age,0-18 Years,18 To 52 Weeks,302275
30/10/2022,Age,0-18 Years,Over 52 Weeks,40335
30/10/2022,Age,0-18 Years,Total,795060
30/10/2022,Age,19-64 Years,Unknown Clock Start,2850
30/10/2022,Age,19-64 Years,01 To 18 Weeks,2093250
30/10/2022,Age,19-64 Years,18 To 52 Weeks,1365215
30/10/2022,Age,19-64 Years,Over 52 Weeks,251425
30/10/2022,Age,19-64 Years,Total,3712745
30/10/2022,Age,Over 65 Years,Unknown Clock Start,2870
30/10/2022,Age,Over 65 Years,01 To 18 Weeks,1373240
30/10/2022,Age,Over 65 Years,18 To 52 Weeks,758685
30/10/2022,Age,Over 65 Years,Over 52 Weeks,123060
30/10/2022,Age,Over 65 Years,Total,2257855
30/10/2022,Sex,Female,Unknown Clock Start,3740
30/10/2022,Sex,Female,01 To 18 Weeks,2153265
30/10/2022,Sex,Female,18 To 52 Weeks,1341835
30/10/2022,Sex,Female,Over 52 Weeks,231990
30/10/2022,Sex,Female,Total,3730830
30/10/2022,Sex,Male,Unknown Clock Start,2885
30/10/2022,Sex,Male,01 To 18 Weeks,1668390
30/10/2022,Sex,Male,18 To 52 Weeks,1021010
30/10/2022,Sex,Male,Over 52 Weeks,172770
30/10/2022,Sex,Male,Total,2865055
06/11/2022,Age,0-18 Years,Unknown Clock Start,1030
06/11/2022,Age,0-18 Years,01 To 18 Weeks,448475
06/11/2022,Age,0-18 Years,18 To 52 Weeks,303055
06/11/2022,Age,0-18 Years,Over 52 Weeks,40485
06/11/2022,Age,0-18 Years,Total,793040
06/11/2022,Age,19-64 Years,Unknown Clock Start,3945
06/11/2022,Age,19-64 Years,01 To 18 Weeks,2102005
06/11/2022,Age,19-64 Years,18 To 52 Weeks,1375500
06/11/2022,Age,19-64 Years,Over 52 Weeks,251860
06/11/2022,Age,19-64 Years,Total,3733310
06/11/2022,Age,Over 65 Years,Unknown Clock Start,3875
06/11/2022,Age,Over 65 Years,01 To 18 Weeks,1371380
06/11/2022,Age,Over 65 Years,18 To 52 Weeks,763485
06/11/2022,Age,Over 65 Years,Over 52 Weeks,122890
06/11/2022,Age,Over 65 Years,Total,2261630
06/11/2022,Sex,Female,Unknown Clock Start,3420
06/11/2022,Sex,Female,01 To 18 Weeks,2167025
06/11/2022,Sex,Female,18 To 52 Weeks,1357020
06/11/2022,Sex,Female,Over 52 Weeks,232945
06/11/2022,Sex,Female,Total,3760405
06/11/2022,Sex,Male,Unknown Clock Start,2655
06/11/2022,Sex,Male,01 To 18 Weeks,1682300
06/11/2022,Sex,Male,18 To 52 Weeks,1031930
06/11/2022,Sex,Male,Over 52 Weeks,172985
06/11/2022,Sex,Male,Total,2889865
13/11/2022,Age,0-18 Years,Unknown Clock Start,820
13/11/2022,Age,0-18 Years,01 To 18 Weeks,432275
13/11/2022,Age,0-18 Years,18 To 52 Weeks,283205
13/11/2022,Age,0-18 Years,Over 52 Weeks,36850
13/11/2022,Age,0-18 Years,Total,753145
13/11/2022,Age,19-64 Years,Unknown Clock Start,2515
13/11/2022,Age,19-64 Years,01 To 18 Weeks,2061420
13/11/2022,Age,19-64 Years,18 To 52 Weeks,1324705
13/11/2022,Age,19-64 Years,Over 52 Weeks,234340
13/11/2022,Age,19-64 Years,Total,3622980
13/11/2022,Age,Over 65 Years,Unknown Clock Start,2675
13/11/2022,Age,Over 65 Years,01 To 18 Weeks,1350200
13/11/2022,Age,Over 65 Years,18 To 52 Weeks,745090
13/11/2022,Age,Over 65 Years,Over 52 Weeks,117005
13/11/2022,Age,Over 65 Years,Total,2214970
13/11/2022,Sex,Female,Unknown Clock Start,3440
13/11/2022,Sex,Female,01 To 18 Weeks,2121970
13/11/2022,Sex,Female,18 To 52 Weeks,1305530
13/11/2022,Sex,Female,Over 52 Weeks,216530
13/11/2022,Sex,Female,Total,3647470
13/11/2022,Sex,Male,Unknown Clock Start,2560
13/11/2022,Sex,Male,01 To 18 Weeks,1647005
13/11/2022,Sex,Male,18 To 52 Weeks,993465
13/11/2022,Sex,Male,Over 52 Weeks,161895
13/11/2022,Sex,Male,Total,2804925
20/11/2022,Age,0-18 Years,Unknown Clock Start,815
20/11/2022,Age,0-18 Years,01 To 18 Weeks,434730
20/11/2022,Age,0-18 Years,18 To 52 Weeks,281910
20/11/2022,Age,0-18 Years,Over 52 Weeks,36585
20/11/2022,Age,0-18 Years,Total,754040
20/11/2022,Age,19-64 Years,Unknown Clock Start,2405
20/11/2022,Age,19-64 Years,01 To 18 Weeks,2068380
20/11/2022,Age,19-64 Years,18 To 52 Weeks,1322100
20/11/2022,Age,19-64 Years,Over 52 Weeks,233770
20/11/2022,Age,19-64 Years,Total,3626655
20/11/2022,Age,Over 65 Years,Unknown Clock Start,1340
20/11/2022,Age,Over 65 Years,01 To 18 Weeks,1344990
20/11/2022,Age,Over 65 Years,18 To 52 Weeks,746600
20/11/2022,Age,Over 65 Years,Over 52 Weeks,117600
20/11/2022,Age,Over 65 Years,Total,2210530
20/11/2022,Sex,Female,Unknown Clock Start,2660
20/11/2022,Sex,Female,01 To 18 Weeks,2129150
20/11/2022,Sex,Female,18 To 52 Weeks,1305915
20/11/2022,Sex,Female,Over 52 Weeks,216270
20/11/2022,Sex,Female,Total,3653990
20/11/2022,Sex,Male,Unknown Clock Start,1885
20/11/2022,Sex,Male,01 To 18 Weeks,1644095
20/11/2022,Sex,Male,18 To 52 Weeks,991450
20/11/2022,Sex,Male,Over 52 Weeks,161805
20/11/2022,Sex,Male,Total,2799230
27/11/2022,Age,0-18 Years,Unknown Clock Start,675
27/11/2022,Age,0-18 Years,01 To 18 Weeks,436710
27/11/2022,Age,0-18 Years,18 To 52 Weeks,281790
27/11/2022,Age,0-18 Years,Over 52 Weeks,37415
27/11/2022,Age,0-18 Years,Total,756590
27/11/2022,Age,19-64 Years,Unknown Clock Start,2065
27/11/2022,Age,19-64 Years,01 To 18 Weeks,2083020
27/11/2022,Age,19-64 Years,18 To 52 Weeks,1323990
27/11/2022,Age,19-64 Years,Over 52 Weeks,232535
27/11/2022,Age,19-64 Years,Total,3641610
27/11/2022,Age,Over 65 Years,Unknown Clock Start,1210
27/11/2022,Age,Over 65 Years,01 To 18 Weeks,1356745
27/11/2022,Age,Over 65 Years,18 To 52 Weeks,747100
27/11/2022,Age,Over 65 Years,Over 52 Weeks,116245
27/11/2022,Age,Over 65 Years,Total,2221305
27/11/2022,Sex,Female,Unknown Clock Start,2295
27/11/2022,Sex,Female,01 To 18 Weeks,2143230
27/11/2022,Sex,Female,18 To 52 Weeks,1305290
27/11/2022,Sex,Female,Over 52 Weeks,215305
27/11/2022,Sex,Female,Total,3666120
27/11/2022,Sex,Male,Unknown Clock Start,1650
27/11/2022,Sex,Male,01 To 18 Weeks,1659790
27/11/2022,Sex,Male,18 To 52 Weeks,994475
27/11/2022,Sex,Male,Over 52 Weeks,161060
27/11/2022,Sex,Male,Total,2816980
04/12/2022,Age,0-18 Years,Unknown Clock Start,765
04/12/2022,Age,0-18 Years,01 To 18 Weeks,438630
04/12/2022,Age,0-18 Years,18 To 52 Weeks,280505
04/12/2022,Age,0-18 Years,Over 52 Weeks,37745
04/12/2022,Age,0-18 Years,Total,757645
04/12/2022,Age,19-64 Years,Unknown Clock Start,2755
04/12/2022,Age,19-64 Years,01 To 18 Weeks,2085845
04/12/2022,Age,19-64 Years,18 To 52 Weeks,1328615
04/12/2022,Age,19-64 Years,Over 52 Weeks,231775
04/12/2022,Age,19-64 Years,Total,3648990
04/12/2022,Age,Over 65 Years,Unknown Clock Start,1700
04/12/2022,Age,Over 65 Years,01 To 18 Weeks,1352920
04/12/2022,Age,Over 65 Years,18 To 52 Weeks,750290
04/12/2022,Age,Over 65 Years,Over 52 Weeks,115770
04/12/2022,Age,Over 65 Years,Total,2220680
04/12/2022,Sex,Female,Unknown Clock Start,2990
04/12/2022,Sex,Female,01 To 18 Weeks,2145835
04/12/2022,Sex,Female,18 To 52 Weeks,1308675
04/12/2022,Sex,Female,Over 52 Weeks,214245
04/12/2022,Sex,Female,Total,3671745
04/12/2022,Sex,Male,Unknown Clock Start,2230
04/12/2022,Sex,Male,01 To 18 Weeks,1662245
04/12/2022,Sex,Male,18 To 52 Weeks,996590
04/12/2022,Sex,Male,Over 52 Weeks,160540
04/12/2022,Sex,Male,Total,2821600
11/12/2022,Age,0-18 Years,Unknown Clock Start,680
11/12/2022,Age,0-18 Years,01 To 18 Weeks,439860
11/12/2022,Age,0-18 Years,18 To 52 Weeks,279930
11/12/2022,Age,0-18 Years,Over 52 Weeks,37945
11/12/2022,Age,0-18 Years,Total,758415
11/12/2022,Age,19-64 Years,Unknown Clock Start,2635
11/12/2022,Age,19-64 Years,01 To 18 Weeks,2071320
11/12/2022,Age,19-64 Years,18 To 52 Weeks,1327315
11/12/2022,Age,19-64 Years,Over 52 Weeks,229795
11/12/2022,Age,19-64 Years,Total,3631070
11/12/2022,Age,Over 65 Years,Unknown Clock Start,1665
11/12/2022,Age,Over 65 Years,01 To 18 Weeks,1319450
11/12/2022,Age,Over 65 Years,18 To 52 Weeks,748745
11/12/2022,Age,Over 65 Years,Over 52 Weeks,114685
11/12/2022,Age,Over 65 Years,Total,2184545
11/12/2022,Sex,Female,Unknown Clock Start,2430
11/12/2022,Sex,Female,01 To 18 Weeks,2117535
11/12/2022,Sex,Female,18 To 52 Weeks,1307290
11/12/2022,Sex,Female,Over 52 Weeks,212940
11/12/2022,Sex,Female,Total,3640195
11/12/2022,Sex,Male,Unknown Clock Start,1800
11/12/2022,Sex,Male,01 To 18 Weeks,1642740
11/12/2022,Sex,Male,18 To 52 Weeks,996260
11/12/2022,Sex,Male,Over 52 Weeks,159590
11/12/2022,Sex,Male,Total,2800395
18/12/2022,Age,0-18 Years,Unknown Clock Start,920
18/12/2022,Age,0-18 Years,01 To 18 Weeks,457210
18/12/2022,Age,0-18 Years,18 To 52 Weeks,298395
18/12/2022,Age,0-18 Years,Over 52 Weeks,42245
18/12/2022,Age,0-18 Years,Total,798770
18/12/2022,Age,19-64 Years,Unknown Clock Start,3355
18/12/2022,Age,19-64 Years,01 To 18 Weeks,2117025
18/12/2022,Age,19-64 Years,18 To 52 Weeks,1389435
18/12/2022,Age,19-64 Years,Over 52 Weeks,248735
18/12/2022,Age,19-64 Years,Total,3758545
18/12/2022,Age,Over 65 Years,Unknown Clock Start,1970
18/12/2022,Age,Over 65 Years,01 To 18 Weeks,1355920
18/12/2022,Age,Over 65 Years,18 To 52 Weeks,778240
18/12/2022,Age,Over 65 Years,Over 52 Weeks,120735
18/12/2022,Age,Over 65 Years,Total,2256870
18/12/2022,Sex,Female,Unknown Clock Start,3495
18/12/2022,Sex,Female,01 To 18 Weeks,2165810
18/12/2022,Sex,Female,18 To 52 Weeks,1368490
18/12/2022,Sex,Female,Over 52 Weeks,230285
18/12/2022,Sex,Female,Total,3768075
18/12/2022,Sex,Male,Unknown Clock Start,2595
18/12/2022,Sex,Male,01 To 18 Weeks,1680130
18/12/2022,Sex,Male,18 To 52 Weeks,1042045
18/12/2022,Sex,Male,Over 52 Weeks,171330
18/12/2022,Sex,Male,Total,2896105
25/12/2022,Age,0-18 Years,Unknown Clock Start,520
25/12/2022,Age,0-18 Years,01 To 18 Weeks,451720
25/12/2022,Age,0-18 Years,18 To 52 Weeks,297170
25/12/2022,Age,0-18 Years,Over 52 Weeks,42285
25/12/2022,Age,0-18 Years,Total,791690
25/12/2022,Age,19-64 Years,Unknown Clock Start,705
25/12/2022,Age,19-64 Years,01 To 18 Weeks,2076865
25/12/2022,Age,19-64 Years,18 To 52 Weeks,1385365
25/12/2022,Age,19-64 Years,Over 52 Weeks,247780
25/12/2022,Age,19-64 Years,Total,3710715
25/12/2022,Age,Over 65 Years,Unknown Clock Start,380
25/12/2022,Age,Over 65 Years,01 To 18 Weeks,1330215
25/12/2022,Age,Over 65 Years,18 To 52 Weeks,777795
