Code,Name,Geography,Metric,Category,Waiting Bands,Count
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,7,Total,7720
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,8,01 To 18 Weeks,4225
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,8,18 To 52 Weeks,2980
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,8,Over 52 Weeks,270
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,8,Total,7475
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,9,01 To 18 Weeks,3555
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,9,18 To 52 Weeks,2380
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,9,Over 52 Weeks,250
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,IMD,9,Total,6190
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Female,01 To 18 Weeks,25970
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Female,18 To 52 Weeks,19245
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Female,Over 52 Weeks,1790
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Female,Total,47005
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Male,01 To 18 Weeks,20350
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Male,18 To 52 Weeks,14540
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Male,Over 52 Weeks,1345
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ACUTE,Sex,Male,Total,36235
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,01 To 18 Weeks,5155
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,18 To 52 Weeks,3090
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,Over 52 Weeks,20
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,0-18 Years,Total,8265
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,01 To 18 Weeks,37545
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,18 To 52 Weeks,21390
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,Over 52 Weeks,535
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,19-64 Years,Total,59470
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,01 To 18 Weeks,17800
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,18 To 52 Weeks,8945
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,Over 52 Weeks,190
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,Total,26935
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,01 To 18 Weeks,1930
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,18 To 52 Weeks,1035
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,Over 52 Weeks,20
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,Total,2985
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,01 To 18 Weeks,17680
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,18 To 52 Weeks,9375
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,Over 52 Weeks,225
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,Total,27280
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,01 To 18 Weeks,1190
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,18 To 52 Weeks,575
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,Over 52 Weeks,10
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,Total,1770
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,01 To 18 Weeks,10795
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,18 To 52 Weeks,6065
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Over 52 Weeks,120
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Total,16980
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,440
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,260
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,*
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,Total,705
