Code,Name,Geography,Metric,Category,Waiting Bands,Count
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,01 To 18 Weeks,10985
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,18 To 52 Weeks,5640
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,Over 52 Weeks,170
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,Total,16795
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,01 To 18 Weeks,13665
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,18 To 52 Weeks,7135
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Over 52 Weeks,220
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Total,21020
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,01 To 18 Weeks,10965
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,18 To 52 Weeks,5700
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Over 52 Weeks,200
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Total,16865
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,01 To 18 Weeks,8055
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,18 To 52 Weeks,4140
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Over 52 Weeks,145
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Total,12345
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,01 To 18 Weeks,6630
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,18 To 52 Weeks,3305
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Over 52 Weeks,135
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Total,10070
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,01 To 18 Weeks,5000
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,18 To 52 Weeks,2545
