Treatment Function Code,Metric,Category,Waiting Bands,Count
Ophthalmology Service,IMD,3,Total,56340
Ophthalmology Service,IMD,4,Unknown Clock Start,100
Ophthalmology Service,IMD,4,01 To 18 Weeks,40555
Ophthalmology Service,IMD,4,18 To 52 Weeks,16915
Ophthalmology Service,IMD,4,Over 52 Weeks,680
Ophthalmology Service,IMD,4,Total,58250
Ophthalmology Service,IMD,5,Unknown Clock Start,105
Ophthalmology Service,IMD,5,01 To 18 Weeks,40600
Ophthalmology Service,IMD,5,18 To 52 Weeks,16750
Ophthalmology Service,IMD,5,Over 52 Weeks,715
Ophthalmology Service,IMD,5,Total,58165
Ophthalmology Service,IMD,6,Unknown Clock Start,140
Ophthalmology Service,IMD,6,01 To 18 Weeks,41000
Ophthalmology Service,IMD,6,18 To 52 Weeks,16500
Ophthalmology Service,IMD,6,Over 52 Weeks,690
Ophthalmology Service,IMD,6,Total,58330
Ophthalmology Service,IMD,7,Unknown Clock Start,150
Ophthalmology Service,IMD,7,01 To 18 Weeks,41175
Ophthalmology Service,IMD,7,18 To 52 Weeks,16385
Ophthalmology Service,IMD,7,Over 52 Weeks,710
Ophthalmology Service,IMD,7,Total,58420
Ophthalmology Service,IMD,8,Unknown Clock Start,165
Ophthalmology Service,IMD,8,01 To 18 Weeks,41620
Ophthalmology Service,IMD,8,18 To 52 Weeks,16980
Ophthalmology Service,IMD,8,Over 52 Weeks,715
Ophthalmology Service,IMD,8,Total,59480
Ophthalmology Service,IMD,9,Unknown Clock Start,220
Ophthalmology Service,IMD,9,01 To 18 Weeks,40930
Ophthalmology Service,IMD,9,18 To 52 Weeks,16465
Ophthalmology Service,IMD,9,Over 52 Weeks,680
Ophthalmology Service,IMD,9,Total,58295
Ophthalmology Service,Sex,Female,Unknown Clock Start,775
Ophthalmology Service,Sex,Female,01 To 18 Weeks,214935
Ophthalmology Service,Sex,Female,18 To 52 Weeks,87845
Ophthalmology Service,Sex,Female,Over 52 Weeks,3495
Ophthalmology Service,Sex,Female,Total,307050
Ophthalmology Service,Sex,Male,Unknown Clock Start,615
Ophthalmology Service,Sex,Male,01 To 18 Weeks,174460
Ophthalmology Service,Sex,Male,18 To 52 Weeks,69245
Ophthalmology Service,Sex,Male,Over 52 Weeks,2645
Ophthalmology Service,Sex,Male,Total,246965
