Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,5425
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,183400
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,15
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,41355
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,27090
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,2290
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,70755
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,165
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,96285
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,62195
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,4400
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,163045
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,30
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,53360
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,32805
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,2475
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,88675
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,90
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,01 To 18 Weeks,90610
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,18 To 52 Weeks,56065
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Over 52 Weeks,4550
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Total,151315
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,01 To 18 Weeks,41310
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,18 To 52 Weeks,25490
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Over 52 Weeks,1915
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Total,68780
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Unknown Clock Start,30
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,01 To 18 Weeks,18590
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,18 To 52 Weeks,11150
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Over 52 Weeks,845
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Total,30615
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Unknown Clock Start,75
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,49230
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,31735
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Over 52 Weeks,2290
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Total,83325
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Unknown Clock Start,340
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,01 To 18 Weeks,195905
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,18 To 52 Weeks,114455
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Over 52 Weeks,8060
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Total,318760
ENG,ENGLAND,ENGLAND,IMD,1,Unknown Clock Start,410
ENG,ENGLAND,ENGLAND,IMD,1,01 To 18 Weeks,442420
ENG,ENGLAND,ENGLAND,IMD,1,18 To 52 Weeks,281775
ENG,ENGLAND,ENGLAND,IMD,1,Over 52 Weeks,23070
ENG,ENGLAND,ENGLAND,IMD,1,Total,747680
ENG,ENGLAND,ENGLAND,IMD,10,Unknown Clock Start,905
ENG,ENGLAND,ENGLAND,IMD,10,01 To 18 Weeks,387365
ENG,ENGLAND,ENGLAND,IMD,10,18 To 52 Weeks,230775
ENG,ENGLAND,ENGLAND,IMD,10,Over 52 Weeks,16600
ENG,ENGLAND,ENGLAND,IMD,10,Total,635640
ENG,ENGLAND,ENGLAND,IMD,2,Unknown Clock Start,490
ENG,ENGLAND,ENGLAND,IMD,2,01 To 18 Weeks,450905
ENG,ENGLAND,ENGLAND,IMD,2,18 To 52 Weeks,280865
