Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,2665
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,175115
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,10
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,40845
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,27145
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,1290
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,69295
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,115
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,95405
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,60575
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,2785
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,158880
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,30
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,52040
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,31495
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,1415
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,84980
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,50
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,01 To 18 Weeks,89275
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,18 To 52 Weeks,55135
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Over 52 Weeks,2700
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Total,147160
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,01 To 18 Weeks,40620
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,18 To 52 Weeks,25205
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Over 52 Weeks,1180
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Total,67045
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,01 To 18 Weeks,17410
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,18 To 52 Weeks,10860
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Over 52 Weeks,445
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Total,28735
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Unknown Clock Start,40
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,50450
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,29990
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Over 52 Weeks,1440
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Total,81925
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Unknown Clock Start,300
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,01 To 18 Weeks,196045
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,18 To 52 Weeks,111485
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Over 52 Weeks,5435
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Total,313265
ENG,ENGLAND,ENGLAND,IMD,1,Unknown Clock Start,440
ENG,ENGLAND,ENGLAND,IMD,1,01 To 18 Weeks,421170
ENG,ENGLAND,ENGLAND,IMD,1,18 To 52 Weeks,266430
ENG,ENGLAND,ENGLAND,IMD,1,Over 52 Weeks,13640
ENG,ENGLAND,ENGLAND,IMD,1,Total,701680
ENG,ENGLAND,ENGLAND,IMD,10,Unknown Clock Start,685
ENG,ENGLAND,ENGLAND,IMD,10,01 To 18 Weeks,379795
ENG,ENGLAND,ENGLAND,IMD,10,18 To 52 Weeks,222825
ENG,ENGLAND,ENGLAND,IMD,10,Over 52 Weeks,11375
ENG,ENGLAND,ENGLAND,IMD,10,Total,614680
ENG,ENGLAND,ENGLAND,IMD,2,Unknown Clock Start,455
ENG,ENGLAND,ENGLAND,IMD,2,01 To 18 Weeks,435870
ENG,ENGLAND,ENGLAND,IMD,2,18 To 52 Weeks,269735
ENG,ENGLAND,ENGLAND,IMD,2,Over 52 Weeks,13465
ENG,ENGLAND,ENGLAND,IMD,2,Total,719525
ENG,ENGLAND,ENGLAND,IMD,3,Unknown Clock Start,480
ENG,ENGLAND,ENGLAND,IMD,3,01 To 18 Weeks,436100
ENG,ENGLAND,ENGLAND,IMD,3,18 To 52 Weeks,270560
ENG,ENGLAND,ENGLAND,IMD,3,Over 52 Weeks,13765
ENG,ENGLAND,ENGLAND,IMD,3,Total,720905
ENG,ENGLAND,ENGLAND,IMD,4,Unknown Clock Start,620
ENG,ENGLAND,ENGLAND,IMD,4,01 To 18 Weeks,432645
ENG,ENGLAND,ENGLAND,IMD,4,18 To 52 Weeks,265570
ENG,ENGLAND,ENGLAND,IMD,4,Over 52 Weeks,13750
ENG,ENGLAND,ENGLAND,IMD,4,Total,712590
ENG,ENGLAND,ENGLAND,IMD,5,Unknown Clock Start,640
ENG,ENGLAND,ENGLAND,IMD,5,01 To 18 Weeks,425425
ENG,ENGLAND,ENGLAND,IMD,5,18 To 52 Weeks,259895
ENG,ENGLAND,ENGLAND,IMD,5,Over 52 Weeks,13575
ENG,ENGLAND,ENGLAND,IMD,5,Total,699540
ENG,ENGLAND,ENGLAND,IMD,6,Unknown Clock Start,535
ENG,ENGLAND,ENGLAND,IMD,6,01 To 18 Weeks,428425
ENG,ENGLAND,ENGLAND,IMD,6,18 To 52 Weeks,258415
ENG,ENGLAND,ENGLAND,IMD,6,Over 52 Weeks,13460
ENG,ENGLAND,ENGLAND,IMD,6,Total,700840
ENG,ENGLAND,ENGLAND,IMD,7,Unknown Clock Start,745
ENG,ENGLAND,ENGLAND,IMD,7,01 To 18 Weeks,416740
ENG,ENGLAND,ENGLAND,IMD,7,18 To 52 Weeks,249290
ENG,ENGLAND,ENGLAND,IMD,7,Over 52 Weeks,12885
ENG,ENGLAND,ENGLAND,IMD,7,Total,679660
ENG,ENGLAND,ENGLAND,IMD,8,Unknown Clock Start,650
ENG,ENGLAND,ENGLAND,IMD,8,01 To 18 Weeks,416330
ENG,ENGLAND,ENGLAND,IMD,8,18 To 52 Weeks,247705
ENG,ENGLAND,ENGLAND,IMD,8,Over 52 Weeks,13030
ENG,ENGLAND,ENGLAND,IMD,8,Total,677720
ENG,ENGLAND,ENGLAND,IMD,9,Unknown Clock Start,550
ENG,ENGLAND,ENGLAND,IMD,9,01 To 18 Weeks,403815
ENG,ENGLAND,ENGLAND,IMD,9,18 To 52 Weeks,239940
ENG,ENGLAND,ENGLAND,IMD,9,Over 52 Weeks,12605
ENG,ENGLAND,ENGLAND,IMD,9,Total,656905
ENG,ENGLAND,ENGLAND,Sex,Female,Unknown Clock Start,3440
ENG,ENGLAND,ENGLAND,Sex,Female,01 To 18 Weeks,2262005
ENG,ENGLAND,ENGLAND,Sex,Female,18 To 52 Weeks,1410940
ENG,ENGLAND,ENGLAND,Sex,Female,Over 52 Weeks,73255
ENG,ENGLAND,ENGLAND,Sex,Female,Total,3749645
ENG,ENGLAND,ENGLAND,Sex,Male,Unknown Clock Start,2120
ENG,ENGLAND,ENGLAND,Sex,Male,01 To 18 Weeks,1725845
ENG,ENGLAND,ENGLAND,Sex,Male,18 To 52 Weeks,1024755
ENG,ENGLAND,ENGLAND,Sex,Male,Over 52 Weeks,52105
ENG,ENGLAND,ENGLAND,Sex,Male,Total,2804820
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,01 To 18 Weeks,2075
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,18 To 52 Weeks,795
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Total,2895
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Unknown Clock Start,1915
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,01 To 18 Weeks,135865
